nombre,apellido,dni,usuario,password,cargo,direccion,subsecretaria,is_admin
Carlos,Gomez,2395,carlos.gomez,123,1,1,1,1
Maria,Perez,2396,maria.perez,123,1,2,2,0
Juan,Lopez,2397,juan.lopez,123,1,5,1,0
Ana,Martinez,2398,ana.martinez,123,1,1,2,0
Luis,Garcia,2399,luis.garcia,123,2,2,1,0
Sofia,Sanchez,2400,sofia.sanchez,123,1,5,3,0
Pedro,Ramirez,2401,pedro.ramirez,123,2,4,3,1
Lucia,Torres,2402,lucia.torres,123,3,3,3,1
Miguel,Diaz,2403,miguel.diaz,123,3,4,1,1
Laura,Fernandez,2404,laura.fernandez,123,1,4,2,1
Jorge,Ruiz,2405,jorge.ruiz,123,2,2,3,1
Elena,Morales,2406,elena.morales,123,1,3,1,0
Diego,Castro,2407,diego.castro,123,2,2,2,1
Paula,Vargas,2408,paula.vargas,123,3,1,3,1
Raul,Mendoza,2409,raul.mendoza,123,4,1,1,0
